NumberofOccurrences	LastNameGuess
2	Slechta
11	Sliwa
132	Smalley
2	Smalleys
20	Smith
4	Smyth
30	Sobczak
20	Sogandares
35	Sogandares-B
3	Solis
1	Sorenesen
344	Sorensen
5	Sorenson
21	Speranza
1	Springer
2	Sprouse
2	Stacy
4	Starnes
2	Statemen
3	Stauffer
17	Stein
4	Steinbach
6	Stevens
7	Stevenson
21	Stone
4	Straub
1	Strawn
4	Sudararaj
15	Sundararaj
11054	Suttkus
11	Suzuki
4	Swingle
3	Takemoto
3	Talbot
1	Tapp
10	Taylor
12	Thomas
31	Thomerson
444	Thompson
2	Tinkle
6	Tomoff
250	Trau
10	Trease
6	Tucker
2	Turner
2	Umlauf
1	Unknown
8	Utter
17	Vieto
4	Viosca
1	Vokes
3	Wagner
44	Waitt
2	Walker
2	Walters
4	Warkentin
37	Warren
1	Webb
3	Weide
1	Weiss
1	Wheeler
74	White
1	Whitney
8	Whitsell
5	Wieland
3	Wigley
33	Williams
1	Williard
2	Willis
4	Winkler
2	Winn
1	Woolcott
1	Wooley
4	Wright
34	Yerger
1	Zieman
5	Zirn
